('哪一颗牙最后一次长出来？', '答案: 假牙')
('结婚后不生孩子的美女怎么称呼？', '答案：绝代佳人。')
('最坚固的锁害怕什么', '答案：钥匙。')
('女人为什么穿高跟鞋之后，就代表她想要结婚了呢', '答案：穿高跟鞋容易被人追上。')
('如果你要想使梦成为真正的现实首先要做什么?', '答案：醒来。')
('水陆各半（打一拉丁美洲国家名）', '答案：海地。')
(' 爱看斗牛（打一非洲地名）', '答案：好望角。')
('小明早上刷牙的时侯一边刷一边大声唱歌，他是怎么做到的？', '答案：他刷的是假牙。')
('什么东西别人请你吃，但你自己还是要付钱？', '答案：吃官司。')
('真金不怕火炼，怕什么？', '答案：怕偷。')
('世界人口最多的是哪天？', '答案：复活节。')
('金钟奖、金马奖、金像奖哪个对国家贡献最大？', '答案：金钟奖（精忠报国）。')
('什么东西装玻璃，爱把鼻子当马骑？', '答案：眼镜。')
('小六只会花钱，天天花很多钱，为什么最后却成了百万富翁?', '答案：因为他以前是亿万富翁。')
('为什么警察对闯红灯的汽车司机视而不见？', '答案：汽车司机没开车。')
('进动物园后，大家最先看到的是哪种动物？', '答案：人')
('小明买了新音响，电源开了录音带也放了，为什么没有声音呢？', '答案：家里停电了')
('下雪天，小明开了暖气，关上门窗，为什么还感到很冷？', '答案：他在门外。')
('为什么人们要到市场上去？', '答案：因为市场不会来')
('为什么母鸡都是短腿？', '答案：站着下单时，离地高蛋容易碎。。。')
('123是什么?', '答案：是数字。')
('小明说他能轻而易举跨过一棵大树，他是怎么跨过的呢？', '答案：一颗被伐倒的树。')
('经理明明不会做饭，可有一道菜特别拿手，是什么菜？', '答案：炒鱿鱼。')
('小花站起来同饭桌一样高，为什么两年之后能在桌子下活动自如？', '答案：因为小花是条狗。')
('只能自己一个人去做的事情是什么？\u3000', '答案：做梦。')
('你知道为什么蝙蝠经常倒吊着吗？', '答案：因为它胃下垂。')
('考试时应注意什么？', '答案：监考老师。')
('为什么青蛙跳得比树高？', '答案：因为树不会跳嘛！')
('老张在打太极拳时金鸡独立，站多久看上去都那么轻松，为什么？', '大学时候睡上下铺，有一天寝室里有俩兄弟心血来潮换床铺睡，原来睡上铺的睡下铺，原来睡下铺的睡上铺，第二天一早，睡在上铺的兄弟鼻青脸肿的哀嚎：“我擦，昨晚半夜起来去厕所,忘了')
('不知道谁家的小猪没喂饱跑出来了', '两个二货在玩脑筋急转弯。。。甲：米的妈妈是谁？乙：花生，因为花生米嘛！甲：米的爸爸是谁？乙：蝴蝶，因为蝶恋花。甲：米的外婆是谁？乙：妙笔，因为妙笔生花。甲：米的外公是谁？乙：爆米花，因为抱过米')
('法国人的笑声跟我们有什么不同？', '答案: 万无一失')
('流浪了50多年的流浪汉，有一天突然不流浪了，为什么？', '答案：各打各的算盘')
('什么东西既能吃饭，又能喝水？', '答案：傻瓜')
('增长智力最有效的办法是什么?', '骨瘦如柴')
('小明天天吃口香糖，可别人还说他口臭，为什么？', '他天天说脏话。')
('一名警察见了小偷拔腿就跑，为什么？', '想快点抓住小偷')
('什么样的官不能发号施令，还得老向别人陪笑？', '新郎官')
('什么样的山和海可以移动', '人山人海')
('茉莉花、太阳花、玫瑰花哪一朵花最没力回答', '茉莉花 原因：好一朵美丽(没力)的茉莉花。')
('电梯里放屁，打一明星', '莫文蔚(莫闻味)')
('猪跑出来啦！打一明星', '王力宏(往里轰)')
('哪一家的路最窄？', '冤家(冤家路窄)')
('吃什么会变丑啊?', '藕(因为ch ǒu 丑(谐音吃藕丑)')
('小明买了包糖，给我们学校每人送了一颗，还剩下半包，这是为什么呢？', '因为小明买了包白砂糖 (因为白砂糖颗粒很小，一包白砂糖有非常多颗，全校每人送一颗也送不完)')
('网在什么时候能盛放水?', '当水变成冰的时候')
('什么歌手组合最唠叨？', '南拳妈妈')
('米她妈是谁', '花生')
('模样相同的哥俩同时应征入伍，他们有血缘关系且出生日期及父母的名字完全相同。连长问他俩是不是双胞胎。他们说不是。请问这是为什么？', '三胞胎中的两个')
('什么人心肠最不好?', '地胃肠炎的人.')
('铁放在屋外露天会生锈，那么金子呢？', '会被偷走')
('蓝兰并没生病，但她整个晚上嘴巴一张一合？', '答案她吃瓜子')
('大象的左边耳朵象什么？', '右边耳朵')
('猫见了老鼠为什么拔腿就跑？', '跑去捉老鼠')
('早上、中午、晚上哪个时间段做坏事最好？', '答：中午')
('什么东西明明是圆的，好多人都说它是方的？', '答：方向盘')
('一个人在床上唱歌，为什么唱着唱着就翻了个身？', '答：唱完了A面唱B面')
('谁成天乐得合不拢嘴？', '答：弥勒佛')
('糖、醋、油、盐谁的工作量最少？', '答：盐')
('鸡蛋最怕见到什么？', '答：西红柿')
('李白的老婆和女儿叫什么名？', '答：赵香炉、李紫烟')
('1到100哪个自然数最有钱？', '答：94')
('西红柿的儿子是谁？', '答：柿子')
('在我国为什么人和车要靠右走？', '答：因为菩萨保右')
('油漆工的徒弟叫什么？', '答：好色之徒')
('什么动物最大胆？', '答：狗')
('包子最怕什么？', '答：豆')
('哪种中药最倒楣？', '答：人参')
('面包、寿司、油条谁最潮？', '答：寿司')
('台风天气要带多少钱才能出门？', '答：四千万')
('自己的缺点令自己讨厌是在什么时候？', '答：在别人身上看到时')
('什么样钉子最可怕？', '答：眼中钉')
('蝎子和螃蟹玩猜拳，为什么它们玩了两天，还是分不出胜负呢？', '答：两个都出剪刀手')
('什么人天天过生日？', '答：马化腾')
('在什么地方说的话最不可信？', '答：飞机上')
('为什么不能和阿姨同坐一条船？', '友谊的小船说翻就翻')
('双人跳水最好的组合是谁？', '婆媳')
('一家洗衣店招牌写着“二十四小时交货”，今天小高拿去洗，为何老板说要三天后才能拿到？', '谜题：一个小朋友吃一根香蕉要两分钟，那5个小朋友吃5根香蕉呢？\u3000\u3000谜底：两分钟')
('谁每天都行走在刀刃上？', '脑筋急转弯：谁每天都行走在刀刃上？\u3000\u3000答案：滑冰运动员（包括速滑和花滑冰）')
('为什么大家都害怕吉米写他们的名字？', '贱人和美人谁比较重？\u3000\u3000答案：美人比较重，因为贱人就是矫情（较轻）。')
('带莫字的莫愁、莫言都火了，我们该怎么办呢', '带莫字的莫愁、莫言都火了，我们该怎么办呢？\u3000\u3000答案：莫急。')
('每天下班时门卫都会检查所有员工的皮包，但都空空的，可是为什么厂里还是会经常丢失货物呢', '每天下班时门卫都会检查所有员工的皮包，但都空空的，可是为什么厂里还是会经常丢失货物呢？\u3000\u3000答案：那是一个皮包厂。')
('长假综合症是很多人在长假结束之后都会有的一个症状，把怎样才能避免长假综合症呢', '长假综合症是很多人在长假结束之后都会有的一个症状，把怎样才能避免长假综合症呢？\u3000\u3000答案：不放长假。')
('你知道人类穿衣服的主要原因是什么吗', '你知道人类穿衣服的主要原因是什么吗？\u3000\u3000答案：创造朦胧美。')
('不借助外物的情况下，什么东西就在眼前你却看不见', '不借助外物的情况下，什么东西就在眼前你却看不见？\u3000\u3000答案：眼睫毛。')
('一只瞎了左眼的山羊，在它左边有一块牛肉，右边有一块猪肉，请问它吃哪一块', '一只瞎了左眼的山羊，在它左边有一块牛肉，右边有一块猪肉，请问它吃哪一块?\u3000\u3000答案：都不吃')
('汤姆斯在女友死前发誓自己不会独活，为什么女友死后，他还活的好好的', '汤姆斯在女友死前发誓自己不会独活，为什么女友死后，他还活的好好的？\u3000\u3000答案：他说不会“独”活，所以，他又找了个女友。')
('斑马向兔子求婚多次，为什么兔子老不答应', '斑马向兔子求婚多次，为什么兔子老不答应？\u3000\u3000答案：因为熊猫不喜欢流氓（身上纹身的异性在她眼中都是流氓）')
('为什么韩国人叫奥巴马叫“小马哥”', '为什么韩国人叫奥巴马叫&ldquo;小马哥&rdquo;？\u3000\u3000答案：韩文里&ldquo;噢吧&rdquo;是&ldquo;哥哥&rdquo;的意思')
('为什么大家都说土木工程专业的男生找不到女朋友呢', '为什么大家都说土木工程专业的男生找不到女朋友呢？\u3000\u3000答案：因为他们又“土”又&quot;木&quot;（土气，木讷）')
('石头，西红柿打倒头上，那个最痛', '石头，西红柿打倒头上，那个最痛?\u3000\u3000答案：头疼')
('王小明是个男的，为什么天天看妇科', '王小明是个男的，为什么天天看妇科？\u3000\u3000答案：王小明是妇科医生。')
('主持人说欢迎SHE出场，但是出来的却是白娘子，为什么呢', '主持人说欢迎SHE出场，但是出来的却是白娘子，为什么呢？\u3000\u3000答案：因为白娘子是蛇（she）。')
('世界上哪个城市的男生最不开心', '脑筋急转弯：世界上哪个城市的男生最不开心？\u3000\u3000答案：悉尼，因为悉尼歌（哥）剧（巨）院（怨）。')
('历史上谁的母亲最让男人巴结？', '历史上谁的母亲最让男人巴结？\u3000\u3000答案：岳飞，岳飞的母亲，通常被人们称为岳母。')
('一个桃子我味道跟什么最像？', '一个桃子我味道跟什么最像？\u3000\u3000答案：另一个桃子。')
('如果水浒传的剧组去动物园拍戏，什么动物不会来呢？', '如果水浒传的剧组去动物园拍戏，什么动物不会来呢？\u3000\u3000答案：老虎不会来，因为老虎被武松打死了。')
('8分开是什么?', '8分开是什么?\u3000\u3000答案：0')
('你知道什么动物是Gay吗？', '你知道什么动物是Gay吗？\u3000\u3000答案：兔子，因为兔斯（是）基。')
('宅男宅女最擅长的是啥？', '宅男宅女最擅长的是啥？\u3000\u3000答案：看家。')
('为什么大家说二奶都是“E”呢？', '为什么大家说二奶都是&ldquo;E&rdquo;呢？\u3000\u3000答案：&ldquo;E&rdquo;是视力表（势利婊）')
('如果草莓、杨梅、蓝莓一起去参加世界小姐比赛，谁第一个就会被淘汰呢？', '如果草莓、杨梅、蓝莓一起去参加世界小姐比赛，谁第一个就会被淘汰呢？\u3000\u3000答案：杨梅会被淘汰，因为扬眉吐气（杨梅土气）。')
('为什么天狗食月之后肚子痛呢？', '为什么天狗食月之后肚子痛呢？\u3000\u3000答案：因为十（食）月怀胎。')
('大家都把女性第三者叫做小三，那男性第三者应该叫什么呢？', '大家都把女性第三者叫做小三，那男性第三者应该叫什么呢？\u3000\u3000答案：叫小王，因为多一根。')
('有一颗很爱美的柠檬正在逛街，逛着逛着突然就趴在地上了，为什么呢？', '有一颗很爱美的柠檬正在逛街，逛着逛着突然就趴在地上了，为什么呢？\u3000\u3000答案：因为它腿酸了～')
('朱迪跟他的小伙伴一起吃饭，谁吃的最多呢？', '朱迪跟他的小伙伴一起吃饭，谁吃的最多呢？\u3000\u3000答案：先盛饭的那个人，因为&ldquo;鲜橙多&rdquo;。')
('黑猫警长排队买鸡翅，前面有6个人，后面有5个人，一共多少人呢？', '黑猫警长排队买鸡翅，前面有6个人，后面有5个人，一共多少人呢？\u3000\u3000答案：11，因为黑猫警长不是人。')
('一个人在十八楼上班，他坐电梯为什么只按八楼不按十八楼?', '一个人在十八楼上班，他坐电梯为什么只按八楼不按十八楼?\u3000\u3000答案：他太矮按不到十八楼')
('AC是男是女？', 'AC是男是女？\u3000\u3000答案：AC之间缺少B，当然是男的。')
('皮皮没英语不好，为什么他还能和美国人正常的交流呢？', '皮皮没英语不好，为什么他还能和美国人正常的交流呢？\u3000\u3000答案：他们用的中文。')
('汤姆的枪只能射击50米，为什么这次把距离100米远的狼打死了呢？', '汤姆的枪只能射击50米，为什么这次把距离100米远的狼打死了呢？\u3000\u3000答案：因为他的枪长50米。')
('小红与妈妈都在同一个班里上课，这是为什么？', '妈妈是老师，小红是学生')
('一只凶猛的饿猫，看到老鼠，为何拔腿就跑？', '拔腿就跑过去抓')
('小明的爷爷一边刷牙，一边唱歌，请问为什么？', '刷的是假牙')
('农夫养10头牛，只有19只角，为什么？', '有一只犀牛')
('小张走路从来脚不沾地，这是为什么？', '因为小张穿着鞋子')
('盲人是怎样吃橘子的？', '瞎掰')
('满满一瓶牛奶，怎样才能先喝到瓶底的部分啊？', '用吸管')
('一个人想在一夜里变成百万富翁，他怎么办？', '做梦')
('请你把九匹马平均放在十个马圈里，并让每个马圈里的马的数目都相同，怎么办？', '把九匹马放到一个马圈里然后在这个马圈外再套九个马圈')
('什么竹子不长在土里？', '爆竹')
('世界上什么地方的海不产鱼？', '辞海')
('什么比赛，赢的得不到奖品，输的却有奖品？', '划拳喝酒')
('什么城堡会被女人攻下？', '什么城堡会被女人攻下？\u3000\u3000答案：彼（逼）得堡。')
('四大名著里面哪位人物最黄最暴力？', '四大名著里面哪位人物最黄最暴力？\u3000\u3000答案：孙悟空，因为孙悟空不仅有金色的猴毛还动不动就打妖精。')
('为什么说屁股是人体最脏的地方？', '为什么说屁股是人体最脏的地方？\u3000\u3000答案：因为尘埃落定（腚）。')
('公鹿和母鹿，谁跑的快?', '公鹿和母鹿，谁跑的快?\u3000\u3000答案：公鹿，因为高速公路(公鹿)啊。')
('孙悟空降妖无数，什么妖他没有降服过?', '孙悟空降妖无数，什么妖他没有降服过?\u3000\u3000答案：人妖')
('为什么和尚总是朝北拜?', '为什么和尚总是朝北拜?\u3000\u3000答案：因为&ldquo;南无阿弥陀佛&rdquo;')
('小明在洗澡，他边洗澡边把洗澡水的东西拿出来吃，还说好吃，请问怎么回事?', '小明在洗澡，他边洗澡边把洗澡水的东西拿出来吃，还说好吃，请问怎么回事?\u3000\u3000答案：小明在洗枣')
('什么人没有翅膀?', '什么人没有翅膀?\u3000\u3000答案：正常人')
('为什么甄嬛在皇宫没有身孕，去了甘露寺却怀了龙胎呢？', '为什么甄嬛在皇宫没有身孕，去了甘露寺却怀了龙胎呢？\u3000\u3000答案：宫外孕')
('什么饮料能让人胸部丰满起来？', '什么饮料能让人胸部丰满起来？\u3000\u3000答案：美酒加咖啡，因为邓丽君说我要美酒加咖啡，一（E）杯再一（E）杯。')
('什么时候会发现自己说过的话很值钱？', '皮皮的同桌属鼠并且还是双鱼座，请问他最怕什么？\u3000\u3000谜底：猫，因为猫吃鱼抓老鼠。')
('为什么泼狮屎的树木比洒熊便的树木要长得好呢？', '为什么泼狮屎的树木比洒熊便的树木要长得好呢？\u3000\u3000答案：因为狮屎（事实）胜于熊便（雄辩）')
('蜗牛和毛毛虫谁更讨女孩子喜欢呢？', '脑筋急转弯：世上什么东西最好吃?<br />\r\n<br />\r\n\u3000\u3000答案：嘴巴<br />\r\n')
('脑筋急转弯：两个人相约喝农药自杀，可是钱只够买1瓶农药，1瓶只可以喝死一个人，为什么两个都死了?', '脑筋急转弯：两个人相约喝农药自杀，可是钱只够买1瓶农药，1瓶只可以喝死一个人，为什么两个都死了?<br />\r\n<br />\r\n\u3000\u3000答案：再来一瓶<br />\r\n')
('脑筋急转弯：森林里什么动物混得最开？', '脑筋急转弯：森林里什么动物混得最开？<br />\r\n<br />\r\n\u3000\u3000答案：斑马，因为黑白两道它都混<br />\r\n')
('脑筋急转弯：什么东西总是和你对着干？', '脑筋急转弯：什么东西总是和你对着干？<br />\r\n<br />\r\n\u3000\u3000答案：镜子，你的一举一动在镜子里面都是跟你相反的。<br />\r\n')
('脑筋急转弯：Gay和冰箱有什么不同？', '脑筋急转弯：Gay和冰箱有什么不同？<br />\r\n<br />\r\n\u3000\u3000答案：当你把肉拿出来的时候，冰箱不会放屁。<br />\r\n')
('脑筋急转弯：汤姆已经获得了全省的长跑冠军，但仍然坚持练习，什么时候他能像跑车一样快？', '脑筋急转弯：为什么杰瑞要故意把头发剃光？<br />\r\n<br />\r\n\u3000\u3000答案：让别人觉得他聪明绝顶。<br />\r\n')
('为什么感冒了的蚊子喜欢吸发烧病人的血？', '脑筋急转弯：为什么感冒了的蚊子喜欢吸发烧病人的血？<br />\r\n<br />\r\n\u3000\u3000答案：因为感冒了的蚊子不能喝冷饮~<br />\r\n')
('脑筋急转弯：猪八戒的儿子叫什么?', '脑筋急转弯：猪八戒的儿子叫什么?<br />\r\n<br />\r\n\u3000\u3000答案：猪~~<br />\r\n')
('脑筋急转弯：小明13岁的生日为何点了14根蜡烛?', '脑筋急转弯：小明13岁的生日为何点了14根蜡烛?<br />\r\n<br />\r\n\u3000\u3000答案：那晚停电，有一根是用来照明的。<br />\r\n')
('全世界列亡率最高的地方在哪里?', '脑筋急转弯：全世界列亡率最高的地方在哪里?<br />\r\n<br />\r\n\u3000\u3000答案：在床上<br />\r\n')
('小明的长相和家人很相像，但大家都说小明不是他们的孩子，为什么?', '脑筋急转弯：小明的长相和家人很相像，但大家都说小明不是他们的孩子，为什么?<br />\r\n<br />\r\n\u3000\u3000答案：因为他是爸爸<br />\r\n')
('世界上什么动物只有一种颜色？', '脑筋急转弯：世界上什么动物只有一种颜色？<br />\r\n<br />\r\n\u3000\u3000答案：乌鸦，因为天下乌鸦一般黑。<br />\r\n')
('汤姆和玛丽是一对合法夫妻，那为什么他们俩还要偷偷地约会呢？', '脑筋急转弯：汤姆和玛丽是一对合法夫妻，那为什么他们俩还要偷偷地约会呢？<br />\r\n<br />\r\n\u3000\u3000答案：因为是跟别人约会。<br />\r\n')
('在画皮里面陈坤比较心疼周迅还是赵薇？', '脑筋急转弯：在画皮里面陈坤比较心疼周迅还是赵薇？\u3000\u3000答案：比较心疼周迅，因为有&ldquo;腾讯&rdquo;。')
('不孕不育医院最喜欢找哪位明星代言？', '脑筋急转弯：为什么叶诗文能夺得游泳比赛冠军？\u3000\u3000答案：因为她英文名叫YesWin！')
('小李总是吃软不吃硬，说明什么？', '脑筋急转弯：小李总是吃软不吃硬，说明什么？\u3000\u3000答案：硬的嚼不动。')
('为什么小明能让一群人同时看他并且还对他笑？', '脑筋急转弯：为什么小明能让一群人同时看他并且还对他笑？\u3000\u3000答案：小明是个摄影师。')
('你的英文词典第98页第七个单词是什么词？', '脑筋急转弯：世界上死亡率最高的地方在那里?\u3000\u3000答案：在床上')
('小张为什么喜欢与自己妻子打牌？', '什么东西掉进水里不会湿？\u3000\u3000答案：影子。')
('三心二意的人是什么人？', '三心二意的人是什么人？\u3000\u3000答案：多心的人，因为那个人有三颗心.')
('有一种东西，上升的时候同时会下降下降的同时会上升，这是什么？', '有一种东西，上升的时候同时会下降下降的同时会上升，这是什么？\u3000\u3000答案：跷跷板')
('为什么彤彤与壮壮第一次见面就一口咬定壮壮是喝羊奶长大的?', '为什么彤彤与壮壮第一次见面就一口咬定壮壮是喝羊奶长大的?\u3000\u3000答案：壮壮是一只羊')
('天突然下雨了，大家都急着回家，可有一个人却不紧不慢地走着（他没撑雨伞） 有人问他为什么不赶紧回家，他说了一句话，使那人晕了过去，请问他说 了什么话？', '天突然下雨了，大家都急着回家，可有一个人却不紧不慢地走着（他没撑雨伞） 有人问他为什么不赶紧回家，他说了一句话，使那人晕了过去，请问他说 了什么话？\u3000\u3000答案：“急什么，前面还不')
('为什么太阳天天都比人起的还早？', '为什么太阳天天都比人起的还早？\u3000\u3000答案：因为：人比太阳睡的晚！')
('电视里的超人和蝙蝠侠有什么不同？  \u3000', '电视里超人和蝙蝠侠有什么不同？\u3000\u3000答案：一个内裤穿里面，一个穿外面')
('一个小孩和一个大人在漆黑的夜晚走路，小孩是大人的儿子，大人却不是小孩的父亲，请问为什么？  \u3000', '一个小孩和一个大人在漆黑的夜晚走路，小孩是大人的儿子，大人却不是小孩的父亲，请问为什么？\u3000\u3000答案：因为他们是母子关系')
('拳击冠军最容易被谁击倒？', '拳击冠军最容易被谁击倒？\u3000\u3000答案：瞌睡虫')
('有个人不是官，却负责全公司职工干部上上下下的工作。这个人是干什么的?', '有个人不是官，却负责全公司职工干部上上下下的工作。这个人是干什么的?&mdash;&mdash; 答案: 开电梯的')
('三支点燃的蜡烛搁在纸盒上，一阵风吹来，吹熄了一支，其余两支继续燃烧，最后会剩下几支蜡烛呢？', '三支点燃的蜡烛搁在纸盒上，一阵风吹来，吹熄了一支，其余两支继续燃烧，最后会剩下几支蜡烛呢？ &mdash;&mdash; 答案: 一支也不剩')
('为什么夏天才有台风？', '为什么夏天才有台风？ &mdash;&mdash; 答案: 因为台风要冬眠\u3000\u3000')
('不见棺材不掉泪”可以拿来形容一个顽固，你知道什么人是“见了棺材仍然不掉泪”的死硬派吗？', '不见棺材不掉泪”可以拿来形容一个顽固，你知道什么人是“见了棺材仍然不掉泪”的死硬派吗？ &mdash;&mdash; 答案: 当然是死人了\u3000\u3000')
('哪种比赛，赢的得不到奖品，输的却有奖品?', '哪种比赛，赢的得不到奖品，输的却有奖品?&mdash;&mdash; 答案: 划拳喝酒')
('一个猎人，一只枪，抢射程100米，有一个狼离猎人200米，猎人和狼都不动，可是猎人却开枪把狼打死了', '一个猎人，一只枪，抢射程100米，有一个狼离猎人200米，猎人和狼都不动，可是猎人却开枪把狼打死了？ &mdash;&mdash; 答案: 枪长一百米')
('为何宇宙飞船须密行？', '为何宇宙飞船须密行？ &mdash;&mdash; 答案: 天机不可泄露')
('你知道不可救药的成语是如何产生的吗?', '你知道不可救药的成语是如何产生的吗? &mdash;&mdash; 答案: 当药店发生火灾时只能先救人再救药')
('有一天，有一班学生正在小考，有一个学生，他答出来之后，为什么老师还打了他一顿？', '有一天，有一班学生正在小考，有一个学生，他答出来之后，为什么老师还打了他一顿？&mdash;&mdash; 答案: 因为他把答案念给同学听')
('少林寺的武僧为什么都剃光头？', '少林寺的武僧为什么都剃光头？ &mdash;&mdash; 答案: 因为怕打架的时候对方薅头发！')
('一个手无寸铁的人钻进了狮子笼里，为什么太平无事？', '一个手无寸铁的人钻进了狮子笼里，为什么太平无事？ &mdash;&mdash; 答案: 狮子笼是空的')
('谁最喜欢添油加醋？', '谁最喜欢添油加醋？？ &mdash;&mdash; 答案: 厨师\u3000\u3000')
('冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？', '冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？ &mdash;&mdash; 答案: 傻瓜\u3000\u3000')
('考一个亲戚称呼的问题，如果你曾祖父的儿子，你叫爷爷，那么你祖父的儿子，就是娶了你妈妈的那个人，你应该叫他什么？', '考一个亲戚称呼的问题，如果你曾祖父的儿子，你叫爷爷，那么你祖父的儿子，就是娶了你妈妈的那个人，你应该叫他什么？ &mdash;&mdash; 答案: 儿子')
('两位帅哥因何为了一位长相如恐龙般的女子大打出手？', '两位帅哥因何为了一位长相如恐龙般的女子大打出手？ &mdash;&mdash; 答案: 打输的要娶她\u3000\u3000')
('什么东西有五个头，但人不觉的它怪呢?', '什么东西有五个头，但人不觉的它怪呢? &mdash;&mdash; 答案: 手，脚')
('有一家四兄弟他们4个人的年龄乘起来是14，请问他们各自是多数岁？', '有一家四兄弟他们4个人的年龄乘起来是14，请问他们各自是多数岁？&mdash;&mdash; 答案: 1、1、2、7、其中有一对双胞胎。')
('两个人背对背站着，怎么踢到对方膝盖?', '两个人背对背站着，怎么踢到对方膝盖? &mdash;&mdash; 答案: 走到第一个前面踢\u3000\u3000')
('怎样使一只用纸叠的船在水里不会被水浸坏?', '怎样使一只用纸叠的船在水里不会被水浸坏? &mdash;&mdash; 答案: 在纸上涂一层蜡')
('猴子会说话，为什么？', '猴子会说话，为什么？ &mdash;&mdash; 答案: 是他的外号码 \u3000\u3000')
('什么人每天靠运气赚钱？', '什么人每天靠运气赚钱？【 答案：煤气工人 】')
('小豆豆的一举一动都离不开绳子，为什么？', '小豆豆的一举一动都离不开绳子，为什么？【 答案：小豆豆是个木偶 】')
('什么蛋又能走又能跳还会说话？', '什么蛋又能走又能跳还会说话？【 答案：笨蛋 】')
('如果有人向你问路,你最怕听到哪一句话?', '如果有人向你问路,你最怕听到哪一句话?【 答案：这里是地球吗？ 】')
('老宋刚理完发，便要求理发师将他的头发“中分”，理发师却说做不到，为什么？', '老宋刚理完发，便要求理发师将他的头发“中分”，理发师却说做不到，为什么？【 答案：理发师给老李理了光头 】')
('什么牛不会吃草？', '为什么古时候关羽比张飞死的早？【 答案：红颜薄命 】')
('小王不会轻功，反一只脚搭在鸡蛋上，鸡蛋却不会破，这是为什么？', '什么蛋中看不中吃？【 答案：脸蛋 】')
('朱太太委托征信社二十四小时日夜跟踪、监视王先生，以防他出轨， 但是为什么最后朱先生还是出轨了？', '朱太太委托征信社二十四小时日夜跟踪、监视王先生，以防他出轨， 但是为什么最后朱先生还是出轨了？【 答案：因为王先生搭乘地铁出轨了 】\u3000\u3000')
('如果要想使梦成为现实，我们干的第一件事会是什么？', '要想使梦成为现实，我们干的第一件事会是什么？【 答案：醒来 】\u3000')
('有两个面的盒子吗？', '小明为何能用一只手让車子停下來？ &mdash;&mdash; 答案: 他在打出租车')
('顺着往“基隆”的路标走，却跑到“桃园”去了，为什么？', '顺着往&ldquo;基隆&rdquo;的路标走，却跑到&ldquo;桃园&rdquo;去了，为什么？ &mdash;&mdash; 答案: 台风刚过，路标倒了')
('什么动物即没有祖先又没有子孙?', '什么动物即没有祖先又没有子孙? &mdash;&mdash; 答案: 骡子')
('一架高空飞行的客机在航行中，小王突然打开门冲出去，为什么他没摔死?', '一架高空飞行的客机在航行中，小王突然打开门冲出去，为什么他没摔死?&mdash;&mdash; 答案: 他是冲进了厕所')
('一个公公精神好，从早到晚不睡觉，身体虽小力气大，千人万人推不倒，这是什么东西？', '一个公公精神好，从早到晚不睡觉，身体虽小力气大，千人万人推不倒，这是什么东西？&mdash;&mdash; 答案: 不倒翁\u3000\u3000')
